mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.7434274196624756,0.046144548862647336,0.006903409957885742,0.0008020405678628653,,,1,10,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 10}",-18601.105953714316,-22241.10865145181,-21971.649734725266,-19852.205041876936,-23555.85986610561,-21244.385849574785,1777.097478514067,204
0.6755091190338135,0.022805915380627963,0.006702423095703125,0.0015377926715417832,,,1,12,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 12}",-18564.750632053696,-22207.424456170884,-21856.428326272016,-19974.21315501719,-23446.842448300613,-21209.93180356288,1728.6238796738417,197
0.722247314453125,0.049883245610873664,0.005608034133911133,0.0012064559398659472,,,1,13,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 13}",-19096.488761129935,-21523.843226714507,-22182.89220118776,-20473.108980568995,-23901.69923339551,-21435.606480599345,1615.2837695002418,236
0.7363200664520264,0.009168851636142221,0.00700831413269043,0.0026218326820439592,,,1,14,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 14}",-18944.04513437892,-22276.900453707505,-22263.352911445272,-20369.49828817319,-23477.69380062499,-21466.298117665974,1606.413089001989,242
0.5982317447662353,0.027402924987803865,0.005806064605712891,0.0011635921633897112,,,1,16,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 16}",-19514.37885517403,-22474.490730672376,-22333.865921701443,-20431.05161211314,-23804.314821072723,-21711.620388146745,1537.2870517574668,276
0.7047369956970215,0.051969720097718226,0.007015037536621094,0.002637951394127292,,,2,10,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 10}",-19000.41297636979,-21878.231485723656,-21912.49276818921,-19828.93389211082,-23565.704802897268,-21237.15518505815,1629.4358480922965,203
0.7305283546447754,0.015039787324845393,0.007003927230834961,0.002022633694592816,,,2,12,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 12}",-18873.36217011955,-22249.58942476788,-21966.613157685428,-20102.38315134567,-23546.270579687036,-21347.643696721112,1655.4958386658188,223
0.7300977230072021,0.015303507844068538,0.0060120105743408205,0.0013046446371625408,,,2,13,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 13}",-19098.311370681327,-21948.328437716016,-22103.64091345662,-20071.1131969668,-23375.478521292298,-21319.374488022615,1531.6330052912774,219
0.6741081237792969,0.08303326148356505,0.0055027961730957035,0.0007740584493245705,,,2,14,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 14}",-19362.131841917442,-22321.943030859955,-22383.935973797816,-20533.11551712603,-24016.053694436716,-21723.436011627593,1615.127670071152,278
0.7226929664611816,0.10281075987617058,0.009992361068725586,0.004167591644224062,,,2,16,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 16}",-18991.55045348803,-22371.41386316573,-21932.263394576945,-20385.24532947236,-24205.019276504114,-21577.098463441438,1775.872703039358,257
0.8818799972534179,0.10125499778072551,0.0071990966796875,0.001185635313017472,,,3,10,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 10}",-19297.719725964493,-21931.771556405998,-21942.829030389155,-20079.331892718954,-23273.60034535602,-21305.050510166922,1428.7401562666448,215
0.8703094482421875,0.026104176911478805,0.008907794952392578,0.002611974575457914,,,3,12,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 12}",-18708.602488691355,-22032.63434069374,-21983.25433842745,-19597.00520909534,-23716.487064863064,-21207.59668835419,1811.9514211061883,194
0.7332380294799805,0.06682918333424961,0.006324052810668945,0.0012478812851420538,,,3,13,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 13}",-19122.64769661826,-22574.980403796126,-22035.939519479867,-19744.120853175555,-23875.398803575194,-21470.617455329,1778.534924936991,244
0.7601902484893799,0.08555913321044636,0.008206415176391601,0.004187776063890859,,,3,14,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 14}",-19553.93446574105,-22239.700023607176,-22039.143430054406,-20077.583440830145,-23371.813964678055,-21456.435064982168,1424.252063019373,240
0.7986801624298095,0.018792332653811236,0.008703517913818359,0.002561156991723427,,,3,16,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 16}",-19558.890545045313,-22553.750196232864,-22286.84181518224,-20840.411740227497,-23673.0170456402,-21782.582268465623,1432.1460466803842,288
0.7858767986297608,0.06240529072809163,0.00820331573486328,0.0030724739981009886,,,4,10,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 10}",-18938.735849610035,-22546.513896641893,-21560.902763388858,-20501.268483821492,-23537.82627173214,-21417.049453038886,1598.4224172283136,230
0.6693278312683105,0.056166141605037814,0.006006097793579102,0.0010805093978996858,,,4,12,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 12}",-19258.635568173853,-22660.071283287332,-21403.60799140636,-20293.982730634027,-23569.00991548028,-21437.061497796374,1555.264911643703,237
