mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.6814706802368165,0.03263894278349136,0.0056059837341308595,0.0010220605712525585,,,1,10,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 10}",-18703.980086758234,-29134.292871694066,-18653.250444857396,-19132.713828846012,-19627.613945486104,-21050.37023552836,4057.170855744896,194
0.68563232421875,0.042228893340962345,0.006399393081665039,0.0016240812087851446,,,1,12,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 12}",-19557.669657673952,-28842.57689241274,-18820.003251758284,-19121.849590584403,-19436.7432147791,-21155.768521441696,3851.9765453001296,217
0.6879987239837646,0.03556055586647795,0.006508970260620117,0.0009011451572180222,,,1,13,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 13}",-18945.48837885215,-28982.777862523417,-19171.64953400173,-19102.209440514747,-20137.567892496645,-21267.938621677742,3880.0790830376845,240
0.6751729488372803,0.018394176161223158,0.006599235534667969,0.0010307832469337015,,,1,14,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 14}",-19623.2507169598,-28994.24597905631,-19177.388266935377,-19155.590699221135,-19423.203306361098,-21274.735793706746,3863.5749142902955,241
0.6029514789581298,0.011486903082066294,0.005610466003417969,0.0005779293700742087,,,1,16,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 16}",-19662.89343756931,-29358.28161754191,-19122.286634092776,-19244.520371234084,-19803.892599789455,-21438.374932045506,3968.023482202743,265
0.7005851745605469,0.016587925394397362,0.005995416641235351,0.0012502492573142126,,,2,10,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 10}",-19271.188308919158,-28818.01265733931,-18763.30274596197,-18788.452711418242,-19538.159540093344,-21035.823192746404,3902.164240877552,191
0.6655455112457276,0.03128059116556944,0.006094884872436523,0.0010268151112228486,,,2,12,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 12}",-19348.0813025382,-28918.331275481567,-18759.90511552749,-18983.51170562401,-19702.17249583536,-21142.400379001327,3901.179888058389,213
0.6645337104797363,0.03960694528124209,0.007104158401489258,0.002733964802297132,,,2,13,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 13}",-19284.456805491023,-28777.364122270483,-19074.356195041997,-18967.078050995093,-19535.130906317798,-21127.677216023276,3829.769992077677,211
0.6552021980285645,0.012667347428718303,0.0065020561218261715,0.002148240923735995,,,2,14,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 14}",-19539.63327643274,-29130.666778860344,-19122.788375172342,-19237.980912683306,-19997.33654851328,-21405.6811783324,3874.3127361973166,259
0.6162059307098389,0.00949706897010256,0.00640401840209961,0.001749795911763777,,,2,16,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 16}",-19883.520847208572,-29408.5174034576,-19045.067161229388,-19654.885517478568,-19799.0428919611,-21558.206764267044,3936.117630738227,283
0.6502823829650879,0.02908066338152943,0.006612825393676758,0.001402185205324212,,,3,10,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 10}",-18757.39255385413,-28722.64845562328,-18723.603094919858,-19025.338440968964,-19672.89298410473,-20980.375105894193,3886.1071991935064,179
0.6222813606262207,0.024335508058188227,0.0059069633483886715,0.0007975858401541802,,,3,12,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 12}",-19258.09832077734,-28963.967184601293,-18713.340970772286,-19085.82194604143,-19462.047677269627,-21096.655219892396,3941.3314528219967,203
0.6189417839050293,0.01217963832082732,0.00580449104309082,0.0018337477521809076,,,3,13,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 13}",-19370.2419765142,-28816.571719452484,-18955.469976755307,-19477.44213113371,-19784.04180434982,-21280.753521641105,3777.237926698707,242
0.5927170753479004,0.01859644702202405,0.0064030647277832035,0.000575575823634037,,,3,14,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 14}",-19595.51737481012,-29109.041946466175,-19003.769050010204,-19205.325831569,-19742.08323324037,-21331.147487219172,3897.9222006391046,247
0.5443531513214112,0.02112100640854742,0.0057026386260986325,0.0017195059439724751,,,3,16,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 16}",-19360.787428386277,-29304.538593760397,-19107.993306711345,-19037.17486734706,-19404.349787827432,-21242.968796806505,4033.2538069780294,238
0.6026846885681152,0.02370212398757388,0.006805276870727539,0.002502620993325456,,,4,10,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 10}",-18713.57131599048,-28950.975188681798,-18616.63584693507,-19337.242682358432,-19750.957602218594,-21073.876527236876,3960.398145809413,197
0.6002127647399902,0.014318724434518088,0.005204486846923828,0.0009306837415464352,,,4,12,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 12}",-19481.05120607015,-29763.30889957996,-18880.05052255155,-19311.30862831355,-20208.129997758933,-21528.769850854827,4139.510187651784,277
